,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.989828,0.989778,0.989417,0.989656,0.989854,0.990057,0.989521,0.989701,0.989339,0.989691,0.989751,0.989584,0.989058,0.989842,0.990018,0.990013,0.989434,0.989460,0.989726,0.989746,0.989633,0.989574,0.990039,0.989860,0.989741,0.989754,0.989756,0.989919,0.989560,0.989587
1,0.990444,0.990359,0.990619,0.990647,0.989430,0.990396,0.989867,0.990815,0.990239,0.990687,0.990354,0.990714,0.990641,0.990665,0.990481,0.990377,0.990349,0.990943,0.990536,0.990831,0.990809,0.990779,0.990738,0.990472,0.990764,0.990726,0.990492,0.990565,0.990657,0.990624
2,0.992713,0.992466,0.992714,0.992697,0.992669,0.992805,0.992811,0.992640,0.993095,0.992685,0.992593,0.992516,0.992354,0.992768,0.992657,0.992894,0.992645,0.992356,0.992737,0.992642,0.992458,0.992330,0.992567,0.992945,0.992257,0.992579,0.992708,0.992805,0.992432,0.992784
3,0.994867,0.994873,0.995282,0.995016,0.995295,0.994850,0.995160,0.995425,0.994988,0.994836,0.995094,0.995030,0.994911,0.995054,0.994939,0.995083,0.994905,0.994888,0.995031,0.995074,0.995038,0.994949,0.994943,0.995156,0.995020,0.995277,0.994834,0.995344,0.994774,0.994938
4,0.997600,0.997670,0.997546,0.997679,0.997611,0.997590,0.997452,0.997662,0.997661,0.997390,0.997659,0.997835,0.997461,0.997701,0.997640,0.997677,0.997546,0.997602,0.997705,0.997622,0.997327,0.997526,0.997648,0.997529,0.997555,0.997520,0.997649,0.997441,0.997538,0.997660
5,0.999179,0.999285,0.999236,0.999258,0.999266,0.999304,0.999321,0.999236,0.999257,0.999333,0.999247,0.999219,0.999289,0.997032,0.999274,0.999356,0.999270,0.999177,0.999349,0.999291,0.999313,0.999241,0.999299,0.999256,0.999221,0.999314,0.999270,0.999322,0.999372,0.999310
6,0.999648,0.999684,0.999677,0.999682,0.999712,0.999729,0.999739,0.999717,0.999763,0.999728,0.999712,0.999666,0.999660,0.999717,0.999688,0.999723,0.999745,0.999656,0.999688,0.999649,0.999706,0.999613,0.999836,0.999694,0.999773,0.999717,0.999672,0.999679,0.999791,0.999734
