,Frac. survival,Frac. err,Frac. min,Frac. max,Tot. w/o cuts,Tot. w/o cuts err,Tot. e Aper,Tot. e Aper err,Tot. p Aper,Tot. p Aper err,Tot. only w/ zp,Tot. onyl w/ zp err
0.021000,0.989697,0.000040,0.989058,0.990057,208219.466667,77.424727,7923.666667,16.625237,92644.433333,55.023685,207438.366667,77.780410
0.022000,0.990534,0.000054,0.989430,0.990943,208121.433333,75.570625,7906.033333,13.664755,92610.433333,48.909160,207350.100000,74.394345
0.025000,0.992644,0.000034,0.992257,0.993095,208278.633333,80.495583,7920.866667,17.452967,92655.733333,56.185742,207494.566667,80.284753
0.030000,0.995029,0.000030,0.994774,0.995425,208073.366667,71.801400,7918.200000,15.974660,92568.966667,48.181912,207303.133333,70.155300
0.040000,0.997590,0.000019,0.997327,0.997835,208165.733333,100.030606,7921.433333,16.549433,92514.366667,69.113521,207394.366667,100.179400
0.060000,0.999203,0.000074,0.997032,0.999372,208211.700000,75.005113,7971.766667,18.146422,92384.766667,54.537198,207420.000000,74.802080
0.080000,0.999707,0.000008,0.999613,0.999836,208237.800000,76.158262,8007.033333,15.827787,92334.433333,46.245160,207448.633333,75.790889
