,Frac. survival,Frac. err,Frac. min,Frac. max,Tot. w/ cut,Tot. w/ cut err,Tot. e Aper,Tot. e Aper err,Tot. p Aper,Tot. p Aper err,Tot. w/o zp,Tot. w/o zp err
0.022000,0.994849,0.000000,0.994849,0.994849,1824307.000000,0.000000,280352.000000,0.000000,217938.000000,0.000000,1829488.000000,0.000000
0.025000,0.996132,0.000000,0.996132,0.996132,1826776.000000,0.000000,280608.000000,0.000000,217611.000000,0.000000,1832146.000000,0.000000
0.030000,0.997450,0.000000,0.997450,0.997450,1825075.000000,0.000000,280503.000000,0.000000,218077.000000,0.000000,1830458.000000,0.000000
0.040000,0.998786,0.000000,0.998786,0.998786,1822691.000000,0.000000,279714.000000,0.000000,217798.000000,0.000000,1827989.000000,0.000000
0.060000,0.999627,0.000000,0.999627,0.999627,1824961.000000,0.000000,282270.000000,0.000000,218017.000000,0.000000,1830342.000000,0.000000
0.080000,0.999803,0.000000,0.999803,0.999803,1825153.000000,0.000000,283632.000000,0.000000,218838.000000,0.000000,1830422.000000,0.000000
