,Frac. survival,Frac. err,Frac. min,Frac. max,Tot. w/o cuts,Tot. w/o cuts err,Tot. e Aper,Tot. e Aper err,Tot. p Aper,Tot. p Aper err,Tot. only w/ zp,Tot. onyl w/ zp err
0.055000,0.989077,0.000066,0.988491,0.989709,106947.200000,72.288056,7974.466667,16.833877,47.533333,1.139916,103804.200000,69.516224
0.060000,0.991336,0.000043,0.990926,0.991764,107028.400000,60.093475,7965.000000,20.297674,47.533333,1.182026,103882.566667,59.529819
0.065000,0.993071,0.000123,0.989733,0.993845,107085.600000,47.480349,7969.800000,13.259747,47.400000,1.329662,103925.800000,43.173227
0.070000,0.994704,0.000047,0.994007,0.995094,106925.466667,46.043041,7964.700000,14.690068,47.666667,1.237680,103756.100000,44.695199
0.080000,0.996553,0.000046,0.996100,0.997008,106969.033333,69.779836,8011.566667,14.314382,47.866667,1.319708,103793.200000,66.145503
0.090000,0.997585,0.000028,0.997249,0.997901,107056.666667,53.036850,8017.566667,18.573558,48.966667,1.102002,103874.633333,47.284235
0.100000,0.998222,0.000099,0.995403,0.998623,106962.200000,67.117449,8031.466667,15.879948,45.966667,1.420081,103784.133333,63.634088
0.105000,0.998116,0.000360,0.987526,0.998812,106943.400000,69.376967,8014.166667,16.675270,49.833333,1.248184,103756.966667,65.632267
0.110000,0.998636,0.000027,0.998373,0.998982,107116.333333,59.673749,8054.266667,12.197444,48.466667,1.231741,103923.333333,57.122798
