,Frac. survival,Frac. err,Frac. min,Frac. max,Tot. w/o cuts,Tot. w/o cuts err,Tot. e Aper,Tot. e Aper err,Tot. p Aper,Tot. p Aper err,Tot. only w/ zp,Tot. onyl w/ zp err
0.015000,0.990443,0.000309,0.981465,0.991426,104047.333333,55.957451,7886.100000,12.948475,5.600000,0.415264,103625.866667,54.250197
0.020000,0.994716,0.000343,0.984673,0.995553,104219.166667,64.083957,7929.500000,18.082389,5.766667,0.373224,103803.900000,63.042144
0.025000,0.997274,0.000035,0.996916,0.997622,104017.066667,63.230723,7895.033333,18.345601,5.266667,0.456882,103605.566667,62.965435
0.030000,0.998391,0.000020,0.998090,0.998624,103949.400000,64.483014,7914.000000,17.446935,5.033333,0.540542,103538.933333,64.006474
0.040000,0.999397,0.000014,0.999240,0.999538,104116.966667,58.442897,7917.766667,17.965936,6.100000,0.455461,103699.866667,56.648678
0.050000,0.999428,0.000295,0.990717,0.999797,104083.866667,74.722847,7938.366667,14.372851,6.466667,0.852100,103639.433333,66.315034
0.060000,0.999853,0.000006,0.999764,0.999917,104254.333333,56.283337,7973.333333,17.959296,4.666667,0.406430,103837.800000,56.544071
0.070000,0.999894,0.000006,0.999822,0.999964,104084.700000,57.977182,7980.433333,14.932566,6.033333,0.455786,103668.033333,58.600123
