,Frac. survival,Frac. err,Frac. min,Frac. max,Tot. w/o cuts,Tot. w/o cuts err,Tot. e Aper,Tot. e Aper err,Tot. p Aper,Tot. p Aper err,Tot. only w/ zp,Tot. onyl w/ zp err
0.022000,0.990546,0.000054,0.989934,0.991116,103994.200000,59.733229,7907.400000,16.530148,5.133333,0.407522,103618.833333,59.845896
0.025000,0.992307,0.000361,0.983694,0.993453,104084.400000,60.120741,7884.800000,15.266623,4.600000,0.417931,103705.300000,59.642624
0.030000,0.994858,0.000355,0.984471,0.995602,103981.200000,68.492569,7888.466667,19.137905,4.466667,0.370385,103597.000000,68.633730
0.040000,0.997215,0.000423,0.984755,0.997983,104078.966667,62.180731,7909.833333,15.417168,4.500000,0.376386,103690.833333,61.191704
0.060000,0.999349,0.000014,0.999193,0.999478,103999.833333,44.947502,7935.333333,14.201043,4.100000,0.366212,103612.266667,44.875332
0.080000,0.999514,0.000256,0.991973,0.999870,104141.433333,54.520958,7991.866667,15.775208,4.300000,0.589067,103737.633333,51.327499
