,Frac. survival,Frac. err,Frac. min,Frac. max,Tot. w/ cut,Tot. w/ cut err,Tot. e Aper,Tot. e Aper err,Tot. p Aper,Tot. p Aper err,Tot. w/o zp,Tot. w/o zp err
0.021000,-15.072825,0.054738,-15.150237,-14.995413,389974.000000,596.798123,417.500000,1.767767,70980.000000,66.468037,198255.500000,293.802868
0.022000,-16.893660,0.057262,-16.974642,-16.812679,427658.500000,935.855825,396.500000,7.424621,71502.000000,207.889394,202408.500000,401.990205
0.025000,-22.438629,0.098734,-22.578261,-22.298998,562355.000000,1033.083007,419.500000,1.767767,73504.000000,109.601551,217138.000000,72.831998
0.030000,-30.984819,0.297751,-31.405903,-30.563735,849863.000000,5867.572070,419.500000,10.253048,76605.000000,31.112698,246622.000000,681.650937
0.040000,-42.625792,0.132134,-42.812658,-42.438926,1644747.500000,8819.389328,415.000000,3.535534,86368.500000,250.669354,326643.500000,1326.178768
0.060000,-37.775646,0.076258,-37.883491,-37.667801,3311651.500000,18188.554179,440.000000,14.142136,104747.500000,392.090710,483867.500000,1830.345903
0.080000,-21.007980,0.204912,-21.297770,-20.718191,4217272.500000,26637.773107,448.500000,0.353553,113229.500000,138.946483,557967.000000,2058.387840
