,0,1
0,-15.150237,-14.995413
1,-16.974642,-16.812679
2,-22.578261,-22.298998
3,-31.405903,-30.563735
4,-42.438926,-42.812658
5,-37.883491,-37.667801
6,-20.718191,-21.297770
